,f1,f10,f105,f111,f117,f123,f124,f126,f127,f128,f129,f13,f131,f132,f133,f134,f135,f136,f137,f138,f139,f14,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f16,f160,f163,f169,f17,f175,f18,f181,f187,f19,f193,f199,f2,f20,f201,f202,f203,f204,f205,f206,f207,f208,f209,f21,f210,f211,f217,f22,f223,f227,f23,f233,f239,f24,f245,f25,f251,f254,f255,f256,f257,f258,f259,f26,f260,f261,f262,f263,f264,f265,f266,f269,f27,f275,f28,f281,f282,f283,f284,f286,f287,f288,f289,f29,f290,f292,f295,f297,f3,f30,f302,f304,f305,f307,f308,f309,f31,f310,f311,f312,f313,f314,f315,f316,f318,f319,f32,f320,f321,f322,f323,f324,f325,f326,f327,f330,f333,f334,f335,f336,f337,f338,f339,f34,f340,f341,f342,f343,f344,f345,f346,f347,f348,f349,f35,f350,f351,f352,f353,f354,f355,f356,f357,f358,f359,f36,f360,f361,f362,f363,f364,f365,f366,f367,f368,f369,f37,f370,f371,f372,f373,f374,f375,f376,f377,f378,f379,f380,f381,f383,f384,f385,f386,f388,f389,f390,f392,f393,f394,f397,f398,f399,f4,f40,f400,f401,f402,f403,f404,f406,f407,f408,f409,f41,f410,f411,f412,f413,f414,f415,f416,f42,f43,f44,f45,f46,f47,f48,f49,f5,f51,f52,f53,f54,f55,f57,f58,f60,f61,f62,f63,f65,f66,f67,f68,f69,f7,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f91,f92,f93,f94,f98,f99
fid2008p,60235,1517,0,0,0,0,45135,7321,2599,351,0,13352,6107,2194,0,402,2367,584230,37222,13996,7822,1681,0,7015,31470,3657,4025,860,1044,8694,0,2504,1524,0,8955,1107,50697,1876,0,105,190,0,4795,907,522,804,0,0,17191,0,5334,6781,0,0,9240,0,11003,0,0,0,0,599,0,0,0,87447,0,296,333,301,0,793,4380,0,2325,5448,0,0,0,0,1136,0,0,2496,190,930,0,0,0,0,0,0,0,1756,80350,385,1146,154,53860,5220,13144,9662,0,1228,20627,4152,2166,0,14371,313,3915,18523,0,0,7633,0,0,0,15637,0,0,341,11168,10370,22885,30867,0,0,11754,0,0,4935,15324,0,0,100306,0,0,0,0,0,333,308,0,0,0,0,0,386,0,0,0,0,0,0,604,14281,0,0,0,0,0,401,0,6568,2695,517,0,0,0,7216,5003,0,2754,2331,12255,7509,41482,15394,6815,137,0,338,0,0,3101,43688,5305,8106,22968,349,0,4761,27411,9867,0,3931,3794,2619,0,102412,0,10063,7192,0,3527,6061,1203,1798,1623,366,4310,17501,0,445,16401,9315,654,93900,202,0,38612,3294,29974,4802,35356,3247,3160,5664,11467,1186,26582,0,5249,6318,4249,12535,4977,0,0,0,0,628,0,0,6635,9360,7371,124,2040,0,0,5872,3574,0,4322,185,3987,2511,13720,0,35338,1461,0,40367,235,805,10256,1375,11903,955,1182,82903,2324
fid369p,50979,2180,0,0,0,0,141545,10153,3833,0,0,4161,2823,1317,214,0,2672,1010,0,3530,1453,5277,0,10848,3106,1027,6015,0,272,4733,11938,0,0,0,639,1552,20454,369,0,3264,1847,0,1853,0,0,1128,0,0,25853,0,0,12072,0,0,39100,0,7195,0,224,291,683,331,155,0,0,20241,0,1121,0,4146,0,235,7652,0,2280,6622,0,140,0,0,254,0,0,0,0,3826,0,0,0,0,0,0,0,608,167490,0,0,478,66220,1742,9620,24666,6592,12907,0,1992,6924,0,5174,0,5330,8760,0,7138,13563,5097,0,2464,19982,0,0,0,8826,0,17270,4702,0,0,6583,2450,2233,8623,4425,0,4850,11454,0,0,6541,0,0,0,0,7300,1306,102,0,0,0,0,0,0,0,0,0,0,47736,0,0,0,0,0,0,0,15109,2776,2405,1876,0,21072,2026,1876,147,10915,3391,16186,0,11546,16417,74435,0,14798,0,2528,1640,21941,27760,10978,9558,22227,0,0,9980,10137,20086,0,2382,900,7174,262,2139,3087,10699,7521,805,8368,7270,2159,7436,6237,0,1030,14969,967,134,14012,1685,14202,10530,11949,0,0,6861,24767,3209,14157,1259,1311,10757,8831,2067,20626,5088,7484,11972,11438,5170,1486,0,0,9267,6529,0,689,0,0,2086,1107,2604,17140,2058,0,0,0,0,25699,5598,16661,3855,13738,1017,6011,3964,0,7053,1192,2228,19438,34589,7812,0,0,15729,1097
fid1575c,0,0,0,0,0,0,1255,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,0,0,111,0,0,0,0,0,0,0,9814,0,0,773,0,0,0,0,0,754,0,0,0,0,0,0,0,0,0,0,5868,0,224,0,0,331,155,0,0,0,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330,0,0,3147,0,2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6134,0,5257,0,0,0,0,0,4760,0,0,0,2494,9082,4462,0,0,0,0,1066,1736,16360,0,0,0,0,0,0,0,0,119,0,0,2416,0,0,0,0,0,4238,0,0,0,0,1497,2740,935,0,0,933,1960,0,2642,0,163,0,0,0,0,0,0,0,5705,2805,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,0,0,0,6244,0,0,0,0,0,0,0,0,788,0,0,0,0,0,0,0,8591,0
fid2008c,52497,1310,0,0,0,0,18020,0,0,351,0,13352,0,1869,0,402,0,584230,20451,6127,0,0,0,7015,17736,0,0,0,0,5555,0,0,0,0,6517,1107,758,0,0,105,0,0,4672,0,522,804,0,0,0,0,0,0,0,0,0,0,5024,0,0,0,0,599,0,0,0,52004,0,163,0,136,0,793,4216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,75640,0,361,0,48920,0,3786,2800,0,0,0,0,641,0,7661,313,0,1002,0,0,0,0,0,0,10499,0,0,0,0,10370,19443,24665,0,0,3613,0,0,4935,3032,0,0,90286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7848,0,0,0,0,0,0,0,5014,0,0,0,0,0,0,0,0,0,0,2723,0,4088,3537,6815,137,0,338,0,0,0,13487,0,8106,0,0,0,2459,25340,0,0,0,0,0,0,0,0,6981,3461,0,1289,0,0,1798,0,366,0,1049,0,445,2876,2527,0,91220,0,0,36513,1824,27079,0,9830,1539,3160,3287,6833,0,0,0,0,0,2111,1550,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,5872,0,0,2323,185,0,0,3556,0,4780,0,0,28127,0,0,0,0,0,955,1182,0,0
fid1350c,7432,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7822,0,0,0,10964,933,4025,860,1044,0,0,0,200,0,2438,0,47844,0,0,0,190,0,0,0,0,0,0,0,17191,0,0,4561,0,0,9240,0,487,0,0,0,0,0,0,0,0,2879,0,0,0,0,0,0,0,0,0,1745,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,385,0,0,4940,5220,821,6862,0,1228,20627,0,1525,0,0,0,0,640,0,0,3275,0,0,0,0,0,0,0,3249,0,3442,2896,0,0,0,0,0,0,287,0,0,1084,0,0,0,0,0,333,308,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,0,517,0,0,0,0,0,0,0,0,4539,0,5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,773,2619,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,1617,654,0,202,0,0,1470,2207,0,1596,0,0,0,0,0,21234,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,1999,0,0,256,1401,0,30558,1461,0,984,0,805,1517,1375,0,0,0,82903,938
fid1445c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7092,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067,0,0,2108,0,0,5857,0,0,0,0,0,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9909,0,0,0,0,0,0,3101,0,0,0,22968,0,0,0,0,2861,0,0,0,0,0,0,0,903,3731,0,0,0,0,0,0,0,2810,14597,0,0,0,5171,0,0,0,0,0,0,0,3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fid369c,8431,2180,0,0,0,0,26305,8359,3385,0,0,4161,2823,1317,214,0,2672,1010,0,3530,1453,5277,0,10848,3106,0,2819,0,161,4199,11938,0,0,0,639,1552,7688,369,0,2339,1847,0,1853,0,0,119,0,0,8834,0,0,7243,0,0,4753,0,1327,0,0,291,683,0,0,0,0,8831,0,172,0,4146,0,235,7652,0,2280,6622,0,140,0,0,254,0,0,0,0,2300,0,0,0,0,0,0,0,263,142240,0,0,0,16720,1742,9620,24666,6592,1998,0,1992,6924,0,5174,0,0,8760,0,3991,7353,2178,0,2464,17112,0,0,0,8826,0,17270,4702,0,0,6583,2450,2233,3510,4425,0,4029,4410,0,0,6541,0,0,0,0,7300,1306,102,0,0,0,0,0,0,0,0,0,0,39807,0,0,0,0,0,0,0,10404,2776,0,1876,0,17939,2026,1876,147,4781,1455,10929,0,11546,16417,72695,0,10038,0,2528,1640,14451,18678,6516,9558,22227,0,0,8914,4986,3726,0,2382,900,7174,0,1940,3087,3998,2849,805,4070,3631,2159,1826,1948,0,1030,10731,967,134,7450,819,6958,6040,10719,0,0,3095,21804,3209,11515,1259,1148,10757,6565,175,15880,5088,7484,11972,5733,0,1486,0,0,9267,6529,0,689,0,0,525,1107,775,17140,2058,0,0,0,0,8474,5598,10669,3855,7378,1017,6011,3964,0,6265,1192,2228,9385,5435,2584,0,0,4945,1097
fid970c,306,0,0,0,0,0,0,7321,2599,0,0,0,6107,325,0,0,2367,0,16771,7869,0,0,0,0,2770,2724,0,0,0,1695,0,2504,1324,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,5334,731,0,0,0,0,4940,0,0,0,0,0,0,0,0,2284,0,133,333,0,0,0,164,0,0,733,0,0,0,0,1136,0,0,2496,0,930,0,0,0,0,0,0,0,0,0,0,785,154,0,0,8537,0,0,0,0,4152,0,0,6710,0,0,6018,0,0,4358,0,0,0,5138,0,0,341,5852,0,0,1198,0,0,2284,0,0,0,12005,0,0,5597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,5415,0,0,0,0,0,401,0,122,2695,0,0,0,0,7216,5003,0,2754,2331,4993,7509,6482,1948,0,0,0,0,0,0,0,17730,5305,0,0,349,0,2302,2071,7006,0,2029,3021,0,0,102412,0,0,0,0,1998,6061,1203,0,1623,0,1500,1747,0,0,13525,0,0,2680,0,0,2099,0,0,0,5122,1708,0,2377,0,1186,364,0,0,6098,2138,10985,3460,0,0,0,0,628,0,0,6635,9360,5443,0,0,0,0,0,3471,0,0,0,3987,2255,8763,0,0,0,0,11256,0,0,8739,0,0,0,0,0,1386
fid1772c,0,0,0,0,0,0,98085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,7154,0,0,4829,0,0,0,0,0,0,0,0,0,0,0,0,0,7058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5705,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4605,0,0,0,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4705,0,0,0,0,3133,0,0,0,0,0,0,0,0,0,1740,0,0,0,0,0,2239,0,0,0,0,0,0,0,3415,0,0,0,0,0,262,199,0,6701,1724,0,4298,0,0,5610,0,0,0,0,0,0,6562,866,4138,1750,0,0,0,2833,1003,0,0,0,0,0,2085,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561,0,0,0,0,0,0,0,0,10981,0,0,0,120,0,0,0,0,0,0,0,10053,0,0,0,0,0,0
fid2008o,49862,1310,0,0,0,0,6545,0,0,0,0,10619,0,0,0,0,0,0,13544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,0,0,0,0,0,0,0,0,4045,0,0,0,0,0,0,4216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,0,0,0,46570,0,0,0,0,0,0,0,0,0,7661,0,0,0,0,0,0,0,0,0,7651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2723,0,0,3537,0,0,0,338,0,0,0,0,0,8106,0,0,0,0,650,0,0,0,0,0,0,0,0,2101,0,0,1289,0,0,0,0,0,0,133,0,445,0,0,0,0,0,0,36513,0,6275,0,927,1539,0,3287,6833,0,0,0,0,0,0,1550,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,5872,0,0,0,0,0,0,3556,0,4780,0,0,0,0,0,0,0,0,393,1182,0,0
